samplename,filename,polarity,code
Pool,05102016-082,neg,X1
6035-3,05102016-083,neg,X2
6036-3,05102016-084,neg,X3
6036-1,05102016-085,neg,X4
6026-3,05102016-086,neg,X5
6030-4,05102016-087,neg,X6
6035-4,05102016-088,neg,X7
6037-4,05102016-089,neg,X8
6033-3,05102016-090,neg,X9
6034-3,05102016-091,neg,X10
6038-2,05102016-092,neg,X11
6029-4,05102016-093,neg,X12
6030-3,05102016-094,neg,X13
6029-1,05102016-095,neg,X14
6026-2,05102016-096,neg,X15
Pool,05102016-099,neg,X16
6028-4,05102016-100,neg,X17
6029-2,05102016-101,neg,X18
6031-4,05102016-102,neg,X19
6032-1,05102016-103,neg,X20
6039-2,05102016-104,neg,X21
6029-3,05102016-105,neg,X22
6027-3,05102016-106,neg,X23
6038-1,05102016-107,neg,X24
6027-2,05102016-108,neg,X25
6026-4,05102016-109,neg,X26
6032-4,05102016-110,neg,X27
6028-2,05102016-111,neg,X28
6031-3,05102016-112,neg,X29
6034-4,05102016-113,neg,X30
6028-3,05102016-114,neg,X31
Pool,05102016-117,neg,X32
6033-2,05102016-118,neg,X33
6038-3,05102016-119,neg,X34
6026-1,05102016-120,neg,X35
6031-2,05102016-121,neg,X36
6031-1,05102016-122,neg,X37
6027-1,05102016-123,neg,X38
6032-3,05102016-124,neg,X39
6035-1,05102016-125,neg,X40
6035-2,05102016-126,neg,X41
6033-4,05102016-127,neg,X42
6039-3,05102016-128,neg,X43
6038-4,05102016-129,neg,X44
6037-2,05102016-130,neg,X45
6039-4,05102016-131,neg,X46
6034-2,05102016-132,neg,X47
Pool,05102016-135,neg,X48
6034-1,05102016-136,neg,X49
6027-4,05102016-137,neg,X50
6033-1,05102016-138,neg,X51
6036-4,05102016-139,neg,X52
6028-1,05102016-140,neg,X53
6030-2,05102016-141,neg,X54
6037-3,05102016-142,neg,X55
6032-2,05102016-143,neg,X56
6030-1,05102016-144,neg,X57
6037-1,05102016-145,neg,X58
6039-1,05102016-146,neg,X59
6036-2,05102016-147,neg,X60
Pool,05102016-148,neg,X61
